filename,filesize,modified,errors,namespace,id,format,version,mime,basis,warning
systems-showcase-files/Daylight.mp3,3616498,2015-01-21T01:05:48+11:00,,pronom,fmt/134,MPEG 1/2 Audio Layer 3,,audio/mpeg,extension match mp3; byte match at [[[0 3]] [[3614280 1685]]] (signature 1/8),
systems-showcase-files/Daylight.wav,39859292,2015-01-21T01:05:42+11:00,,pronom,fmt/141,Waveform Audio (PCMWAVEFORMAT),,audio/x-wav,extension match wav; extension match wav; byte match at [[[0 22]] [[84 4]]],extension mismatch
systems-showcase-files/Daylight_1.flv,4295144,2015-01-21T01:04:52+11:00,,pronom,x-fmt/382,Macromedia FLV,1,video/x-flv,"extension match flv; byte match at 0, 4",
"systems-showcase-files/Detailed Stock Quote by PC Quote, Inc.iqy",127,2015-01-21T01:04:10+11:00,,pronom,x-fmt/58,Microsoft Excel Web Query,,,extension match iqy,match on extension only
systems-showcase-files/DisplayQualityB&W.sdd,36864,2015-01-21T01:03:56+11:00,,pronom,x-fmt/360,StarOffice Impress,5.x,,extension match sdd; container name CompObj with byte match at [[[32 12]] [[49 15]]],
"systems-showcase-files/Dow Jones Stocks by PC Quote, Inc.iqy",70,2015-01-21T01:03:36+11:00,,pronom,x-fmt/58,Microsoft Excel Web Query,,,extension match iqy,match on extension only
systems-showcase-files/DrawingWithoutTasks.mpp,56832,2015-01-21T01:03:06+11:00,,pronom,x-fmt/245,Microsoft Project,98,application/vnd.ms-project,"extension match mpp; container name CompObj with byte match at 54, 19 (signature 2/2)",
systems-showcase-files/EAGLE256.TIF,55688,2015-01-21T01:02:52+11:00,,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
systems-showcase-files/EARTH.TGA,921618,2015-01-21T01:02:50+11:00,,pronom,x-fmt/367,Truevision TGA Bitmap,1.0,,"extension match tga; byte match at 1, 16 (signature 2/2)",
systems-showcase-files/ED.TW,17920,2015-01-21T01:02:46+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/EGA40WOA.FON,8368,2015-01-21T01:02:42+11:00,,pronom,x-fmt/410,Windows New Executable,,,byte match at [[[0 2]] [[128 2]]],extension mismatch
systems-showcase-files/EGA80WOA.FON,5312,2015-01-21T01:02:40+11:00,,pronom,x-fmt/410,Windows New Executable,,,byte match at [[[0 2]] [[128 2]]],extension mismatch
systems-showcase-files/EGE00B3.WP5,84263,2015-01-21T01:02:40+11:00,,pronom,x-fmt/394,WordPerfect for MS-DOS/Windows Document,5.1,application/vnd.wordperfect,"extension match wp5; byte match at 0, 16",
systems-showcase-files/ELIT.CHI,13938,2015-01-21T01:00:32+11:00,,pronom,fmt/300,ChiWriter Document,4,,"extension match chi; byte match at 0, 13",
systems-showcase-files/EMCONJ.FLC,381628,2015-01-21T01:00:30+11:00,,pronom,fmt/298,Autodesk Animator Pro FLIC,,,"extension match flc; byte match at 4, 130",
systems-showcase-files/EMCONJ.TXT,1391,2015-01-21T01:00:24+11:00,,pronom,x-fmt/111,Plain Text File,,text/plain,extension match txt; text match ASCII,
systems-showcase-files/EMCONJ1.FLI,282075,2015-01-21T01:00:22+11:00,,pronom,x-fmt/154,AutoDesk FLIC Animation,,,"extension match fli; byte match at 4, 140",
systems-showcase-files/EMERALD.TGA,819035,2015-01-21T01:00:18+11:00,,pronom,x-fmt/367,Truevision TGA Bitmap,1.0,,"extension match tga; byte match at 1, 16 (signature 2/2)",
systems-showcase-files/EMF - ILLCS6.emf,428,2015-01-21T01:00:10+11:00,,pronom,x-fmt/153,Microsoft Windows Enhanced Metafile,1.0,image/emf,"extension match emf; byte match at 0, 68 (signature 2/2)",
systems-showcase-files/EMP.CSV,970,2015-01-21T01:00:00+11:00,,pronom,x-fmt/18,Comma Separated Values,,text/csv,extension match csv,match on extension only
systems-showcase-files/EMP.DBF,1031,2015-01-21T00:59:58+11:00,,pronom,x-fmt/271,dBASE Database,III+,,"extension match dbf; byte match at 0, 44",
systems-showcase-files/EMP.DBT,2048,2015-01-21T00:59:56+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/40, x-fmt/311"
systems-showcase-files/EMP.TXT,650,2015-01-21T00:59:52+11:00,,pronom,x-fmt/111,Plain Text File,,text/plain,extension match txt; text match ASCII,
systems-showcase-files/EMP.XLS,2691,2015-01-21T00:59:50+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are fmt/55, fmt/56, fmt/57, fmt/59, fmt/61, fmt/62, fmt/175, fmt/176, fmt/177"
systems-showcase-files/EMPDEPT.NDX,1024,2015-01-21T00:59:48+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/EMPHIRE.NDX,1024,2015-01-21T00:59:48+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/EMPLNAME.NDX,1024,2015-01-21T00:59:44+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/ENABLE45.WPF,2403,2015-01-21T00:59:42+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/ENGINEER.mpp,250368,2015-01-21T00:59:40+11:00,,pronom,x-fmt/247,Microsoft Project,2000-2003,application/vnd.ms-project,extension match mpp; container name Props9 with name only (signature 1/2),
systems-showcase-files/EPSASCIIps25w.EPS,1166616,2015-01-21T00:59:32+11:00,,pronom,fmt/124,Encapsulated PostScript File Format,3,application/postscript,extension match eps; byte match at [[[0 4]] [[4392 24]]] (signature 2/3),
systems-showcase-files/EPSBINps25w.EPS,569909,2015-01-21T00:59:28+11:00,,pronom,fmt/124,Encapsulated PostScript File Format,3,application/postscript,extension match eps; byte match at [[[0 4]] [[4392 24]]] (signature 2/3),
systems-showcase-files/EPSjpegps25w.EPS,252710,2015-01-21T00:59:26+11:00,,pronom,fmt/124,Encapsulated PostScript File Format,3,application/postscript,"extension match eps; byte match at 0, 24 (signature 1/3)",
systems-showcase-files/EUROPE.ZBR,9656,2015-01-21T00:59:20+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/EUROTOOL.XLA,638976,2015-01-21T00:59:18+11:00,,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"container name Workbook with byte match at 0, 8 (signature 1/2)",extension mismatch
systems-showcase-files/EXCEL22m.xls,858,2015-01-21T00:59:16+11:00,,pronom,fmt/55,Microsoft Excel 2.x Worksheet (xls),2,application/vnd.ms-excel,"extension match xls; byte match at 0, 8",
systems-showcase-files/EXCEL3m.xls,1700,2015-01-21T00:59:14+11:00,,pronom,fmt/56,Microsoft Excel 3.0 Worksheet (xls),3,application/vnd.ms-excel,"extension match xls; byte match at 0, 8",
systems-showcase-files/EXCEL4m.xls,1825,2015-01-21T00:59:12+11:00,,pronom,fmt/57,Microsoft Excel 4.0 Worksheet (xls),4S,application/vnd.ms-excel,"extension match xls; byte match at 0, 8",
systems-showcase-files/EXCEL5m.xls,9728,2015-01-21T00:59:10+11:00,,pronom,fmt/59,Microsoft Excel 5.0/95 Workbook (xls),5/95,application/vnd.ms-excel,"extension match xls; container name Book with byte match at 0, 8",
systems-showcase-files/EXCELCBT.CBT,116624,2015-01-21T00:59:08+11:00,,pronom,x-fmt/410,Windows New Executable,,,byte match at [[[0 2]] [[176 2]]],extension mismatch
systems-showcase-files/EXCELLES.CBT,453986,2015-01-21T00:59:06+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/EXOTIC.FMT,697,2015-01-21T00:59:04+11:00,,pronom,UNKNOWN,,,,,no match; possibilities based on extension are x-fmt/331
systems-showcase-files/EXOTIC.WK1,3235,2015-01-21T00:59:00+11:00,,pronom,x-fmt/114,Lotus 1-2-3 Worksheet,2.0,application/vnd.lotus-1-2-3,"extension match wk1; byte match at 0, 10",
systems-showcase-files/EXPENSES.XLS,24414,2015-01-21T00:58:56+11:00,,pronom,fmt/473,Microsoft Office Owner File,,,"byte match at 0, 56 (signature 4/20)",extension mismatch
systems-showcase-files/EXPORTS.XLS,2399,2015-01-21T00:58:50+11:00,,pronom,fmt/56,Microsoft Excel 3.0 Worksheet (xls),3,application/vnd.ms-excel,"extension match xls; byte match at 0, 8",
systems-showcase-files/EXPORTS.XLW,22009,2015-01-21T00:58:48+11:00,,pronom,fmt/58,Microsoft Excel 4.0 Workbook (xls),4W,application/vnd.ms-excel,"extension match xlw; byte match at 0, 8",
systems-showcase-files/EXPTOOWS.XLA,44544,2015-01-21T00:58:46+11:00,,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"container name Workbook with byte match at 0, 8 (signature 1/2)",extension mismatch
systems-showcase-files/EXR32bPSCS6.exr,4731193,2015-01-21T00:58:44+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/EXRPSCS4.exr,2430912,2015-01-21T00:58:36+11:00,,pronom,x-fmt/387,Exchangeable Image File Format (Uncompressed),2.2,image/tiff,byte match at [[[0 4]] [[2430154 12]]] (signature 1/4),extension mismatch
systems-showcase-files/EYE.CDR,22309,2015-01-21T00:58:30+11:00,,pronom,fmt/466,CorelDraw Drawing,2.0,,"extension match cdr; byte match at 0, 8",
systems-showcase-files/EYE.TGA,554609,2015-01-21T00:58:28+11:00,,pronom,x-fmt/367,Truevision TGA Bitmap,1.0,,"extension match tga; byte match at 1, 16 (signature 2/2)",
systems-showcase-files/ElectricImage CS4plugPSCS6.img,39681008,2015-01-21T01:02:36+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/159, fmt/383, fmt/625"
systems-showcase-files/ElectricImagePSCS4.img,1658003,2015-01-21T01:01:56+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/159, fmt/383, fmt/625"
systems-showcase-files/ElectricImagePSCS6.img,39681008,2015-01-21T01:01:52+11:00,,pronom,UNKNOWN,,,,,"no match; possibilities based on extension are x-fmt/159, fmt/383, fmt/625"
systems-showcase-files/Eminem _ 8 mile.sib,39120,2015-01-21T01:00:08+11:00,,pronom,fmt/696,Sibelius,,,"extension match sib; byte match at 0, 9",
systems-showcase-files/Eminem _ Just Lose It.sib,40897,2015-01-21T01:00:06+11:00,,pronom,fmt/696,Sibelius,,,"extension match sib; byte match at 0, 9",
systems-showcase-files/Eminem _ Soldier.sib,37544,2015-01-21T01:00:04+11:00,,pronom,fmt/696,Sibelius,,,"extension match sib; byte match at 0, 9",
