"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"62","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PSREADME(PhotoShop3).WRI","/home/richard/local/bench/ipres/systems-showcase-files/PSREADME(PhotoShop3).WRI","PSREADME(PhotoShop3).WRI","Signature","Done","28049","File","wri","2015-01-21T02:49:08","false",,"1","x-fmt/12","","Write for Windows Document","3.0"
"63","2","file:/home/richard/local/bench/ipres/systems-showcase-files/zoomifyViewer.swf","/home/richard/local/bench/ipres/systems-showcase-files/zoomifyViewer.swf","zoomifyViewer.swf","Signature","Done","36516","File","swf","2015-01-21T02:22:26","false",,"1","fmt/506","application/x-shockwave-flash","Adobe Flash","9"
"64","2","file:/home/richard/local/bench/ipres/systems-showcase-files/AI8.ai","/home/richard/local/bench/ipres/systems-showcase-files/AI8.ai","AI8.ai","Signature","Done","133242331","File","ai","2015-01-21T01:30:12","true",,"1","x-fmt/408","application/postscript","PostScript","3.0"
"65","2","file:/home/richard/local/bench/ipres/systems-showcase-files/Gradient.wpg","/home/richard/local/bench/ipres/systems-showcase-files/Gradient.wpg","Gradient.wpg",,"Done","398","File","wpg","2015-01-21T00:52:32","false",,"0",,"","",""
"66","2","file:/home/richard/local/bench/ipres/systems-showcase-files/pal1p1.bmp","/home/richard/local/bench/ipres/systems-showcase-files/pal1p1.bmp","pal1p1.bmp","Signature","Done","1082","File","bmp","2015-01-21T03:01:56","false",,"1","fmt/116","image/bmp","Windows Bitmap","3.0"
"67","2","file:/home/richard/local/bench/ipres/systems-showcase-files/CCITT_3.TIF","/home/richard/local/bench/ipres/systems-showcase-files/CCITT_3.TIF","CCITT_3.TIF","Signature","Done","28986","File","tif","2015-01-21T01:10:28","false",,"1","fmt/353","image/tiff","Tagged Image File Format",""
"68","2","file:/home/richard/local/bench/ipres/systems-showcase-files/CAFE_CUP.ZBR","/home/richard/local/bench/ipres/systems-showcase-files/CAFE_CUP.ZBR","CAFE_CUP.ZBR",,"Done","9686","File","zbr","2015-01-21T01:11:00","false",,"0",,"","",""
"69","2","file:/home/richard/local/bench/ipres/systems-showcase-files/MSBUG2.MIF","/home/richard/local/bench/ipres/systems-showcase-files/MSBUG2.MIF","MSBUG2.MIF","Signature","Done","195628","File","mif","2015-01-21T03:12:36","false",,"1","x-fmt/162","application/vnd.mif","Adobe FrameMaker Interchange Format",""
"70","2","file:/home/richard/local/bench/ipres/systems-showcase-files/21.png","/home/richard/local/bench/ipres/systems-showcase-files/21.png","21.png","Signature","Done","2351982","File","png","2015-01-21T02:16:02","false",,"1","fmt/11","image/png","Portable Network Graphics","1.0"
"71","2","file:/home/richard/local/bench/ipres/systems-showcase-files/SOFT1.RFT","/home/richard/local/bench/ipres/systems-showcase-files/SOFT1.RFT","SOFT1.RFT","Extension","Done","1690","File","rft","2015-01-21T02:40:18","false",,"2","x-fmt/444","application/octet-stream","Revit Family Template",""
"71","2","file:/home/richard/local/bench/ipres/systems-showcase-files/SOFT1.RFT","/home/richard/local/bench/ipres/systems-showcase-files/SOFT1.RFT","SOFT1.RFT","Extension","Done","1690","File","rft","2015-01-21T02:40:18","false",,"2","x-fmt/285","","IBM DisplayWrite Revisable Form Text File",""
